title,sline,eline,"group_concat(distinct concept separator ';')"
1,0,0,SimpleAssignmentExpression
11111,0,0,ClassDefinition;PublicClassSpecifier
11111,1,1,VoidDataType;StaticMethodSpecifier;PublicMethodSpecifier;MethodDefinition;FormalMethodParameter
AccessorMutatorDemo,0,0,ImportStatement
AccessorMutatorDemo,2,2,PublicClassSpecifier;ClassDefinition
AccessorMutatorDemo,4,4,PublicMethodSpecifier;FormalMethodParameter;MethodDefinition;StaticMethodSpecifier;VoidDataType
AccessorMutatorDemo,6,6,ConstructorCall;ActualMethodParameter;ObjectCreationStatement;SimpleAssignmentExpression
AccessorMutatorDemo,7,7,StringDataType;java.lang.System.out.print;ActualMethodParameter;StringLiteral
AccessorMutatorDemo,8,8,java.lang.System.out.println;ActualMethodParameter
AccessorMutatorDemo,10,10,SimpleAssignmentExpression;DoubleDataType;ObjectMethodInvocation
AccessorMutatorDemo,11,11,StringDataType;StringLiteral;java.lang.System.out.print;ActualMethodParameter
AccessorMutatorDemo,12,12,ActualMethodParameter;java.lang.System.out.println
AccessorMutatorDemo,14,14,java.lang.System.out.print;ActualMethodParameter;StringLiteral;StringDataType
AccessorMutatorDemo,15,15,java.lang.System.out.println;ActualMethodParameter
AccessorMutatorDemo,17,17,ObjectMethodInvocation;ActualMethodParameter
AccessorMutatorDemo,19,19,java.lang.System.out.print;ActualMethodParameter;StringDataType;StringLiteral
AccessorMutatorDemo,20,20,java.lang.System.out.println;ActualMethodParameter
arithmetic_v2,0,0,ClassDefinition
arithmetic_v2,1,1,StaticMethodSpecifier;PublicMethodSpecifier;MethodDefinition;FormalMethodParameter;VoidDataType
arithmetic_v2,2,2,AddExpression;SimpleAssignmentExpression;IntDataType
arithmetic_v2,3,3,java.lang.System.out.println;ActualMethodParameter
arithmetic_v2,4,4,SimpleAssignmentExpression;SubtractExpression
arithmetic_v2,5,5,java.lang.System.out.println;ActualMethodParameter
arithmetic_v2,6,6,MultiplyExpression;SimpleAssignmentExpression
arithmetic_v2,7,7,java.lang.System.out.println;ActualMethodParameter
arithmetic_v2,8,8,DivideExpression;SimpleAssignmentExpression
arithmetic_v2,9,9,ActualMethodParameter;java.lang.System.out.println
arithmetic_v2,10,10,SimpleAssignmentExpression;AddExpression
arithmetic_v2,11,11,ModulusExpression;SimpleAssignmentExpression
arithmetic_v2,12,12,ActualMethodParameter;java.lang.System.out.println
arraylist1_v2,0,0,ClassDefinition;PublicClassSpecifier
arraylist1_v2,2,2,StaticMethodSpecifier;MethodDefinition;PublicMethodSpecifier;VoidDataType;FormalMethodParameter
arraylist1_v2,4,4,java.util.ArrayList;SimpleAssignmentExpression;GenericObjectCreationStatement
arraylist1_v2,6,6,GenericObjectCreationStatement;SimpleAssignmentExpression;java.util.ArrayList
arraylist2_v2,0,0,java.util.ArrayList;ImportStatement
arraylist2_v2,1,1,ClassDefinition
arraylist2_v2,2,2,VoidDataType;StaticMethodSpecifier;PublicMethodSpecifier;MethodDefinition;FormalMethodParameter
arraylist2_v2,3,3,StringDataType;java.util.ArrayList;SimpleAssignmentExpression;GenericObjectCreationStatement
arraylist2_v2,4,4,StringLiteral;ActualMethodParameter;java.util.ArrayList.add;StringDataType
arraylist2_v2,5,5,StringLiteral;ActualMethodParameter;java.util.ArrayList.add;StringDataType
arraylist2_v2,6,6,ActualMethodParameter;java.util.ArrayList.add;StringDataType;StringLiteral
arraylist2_v2,7,7,ActualMethodParameter;StringDataType;java.util.ArrayList.add;StringLiteral
arraylist2_v2,8,8,StringDataType;java.util.ArrayList.add;StringLiteral;ActualMethodParameter
arraylist2_v2,9,9,StringLiteral;java.util.ArrayList.add;StringDataType;ActualMethodParameter
arraylist2_v2,10,10,StringDataType;StringLiteral;ActualMethodParameter;java.util.ArrayList.add
arraylist2_v2,11,11,java.util.ArrayList.size;StringAddition;StringDataType;StringLiteral;ActualMethodParameter;java.lang.System.out.println
arraylist2_v2,12,12,StringAddition;java.lang.System.out.println;ActualMethodParameter;StringDataType;StringLiteral
arraylist2_v2,13,13,java.util.ArrayList.remove;ActualMethodParameter;StringLiteral;StringDataType
arraylist2_v2,14,14,ActualMethodParameter;java.util.ArrayList.remove
arraylist2_v2,15,15,java.util.ArrayList.size;java.lang.System.out.println;ActualMethodParameter;StringLiteral;StringDataType;StringAddition
arraylist2_v2,16,16,StringAddition;StringDataType;StringLiteral;ActualMethodParameter;java.lang.System.out.println
arraylist2_v2,17,17,StringDataType;java.util.ArrayList.set;ActualMethodParameter;StringLiteral
