item,mv,method,isstatic,isPersonalized,isStructural,isgoal,diff
joperator1469,1,PC,false,true,false,false,Low-Difficulty
joperator1469,1,PA,false,true,false,false,Low-Difficulty
jInheritance2211,2,C,true,false,false,NA,High-Difficulty
jarray2244,1,PGSA,false,true,true,true,High-Difficulty
jarray2244,1,PGA,false,true,false,true,High-Difficulty
jarray2244,1,SC,true,false,true,NA,High-Difficulty
jarray2244,1,PGC,false,true,false,true,High-Difficulty
jarray2244,1,PGSC,false,true,true,true,High-Difficulty
jarray2244,1,C,true,false,false,NA,High-Difficulty
jInheritance1248,2,ST,true,false,true,NA,High-Difficulty
jInheritance1248,2,PGSA,false,true,true,true,High-Difficulty
jInheritance1248,2,PSC,false,true,true,false,High-Difficulty
jInheritance1248,2,SC,true,false,true,NA,High-Difficulty
jInheritance1248,2,SA,true,false,true,NA,High-Difficulty
jInheritance1248,2,PGSC,false,true,true,true,High-Difficulty
jInheritance1248,2,C,true,false,false,NA,High-Difficulty
jarray2243,1,PGSA,false,true,true,true,High-Difficulty
jarray2243,1,PC,false,true,false,false,High-Difficulty
jarray2243,1,PSC,false,true,true,false,High-Difficulty
jarray2243,1,SC,true,false,true,NA,High-Difficulty
jarray2243,1,PSA,false,true,true,false,High-Difficulty
jarray2243,1,SA,true,false,true,NA,High-Difficulty
jarray2243,1,PA,false,true,false,false,High-Difficulty
joperator1226,2,ST,true,false,true,NA,Low-Difficulty
joperator1226,2,PGSA,false,true,true,true,Low-Difficulty
joperator1226,2,PC,false,true,false,false,Low-Difficulty
joperator1226,2,PGA,false,true,false,true,Low-Difficulty
joperator1226,2,PGC,false,true,false,true,Low-Difficulty
joperator1226,2,PGSC,false,true,true,true,Low-Difficulty
joperator1226,2,C,true,false,false,NA,Low-Difficulty
joperator1468,1,PC,false,true,false,false,Low-Difficulty
joperator1468,1,A,true,false,false,NA,Low-Difficulty
joperator1468,1,PA,false,true,false,false,Low-Difficulty
joperator1221,3,ST,true,false,true,NA,Low-Difficulty
joperator1221,3,PGSA,false,true,true,true,Low-Difficulty
joperator1221,3,PC,false,true,false,false,Low-Difficulty
joperator1221,3,PSC,false,true,true,false,Low-Difficulty
joperator1221,3,PGA,false,true,false,true,Low-Difficulty
joperator1221,3,A,true,false,false,NA,Low-Difficulty
joperator1221,3,SC,true,false,true,NA,Low-Difficulty
joperator1221,3,PSA,false,true,true,false,Low-Difficulty
joperator1221,3,PGC,false,true,false,true,Low-Difficulty
joperator1221,3,SA,true,false,true,NA,Low-Difficulty
joperator1221,3,PA,false,true,false,false,Low-Difficulty
joperator1221,3,PGSC,false,true,true,true,Low-Difficulty
joperator1221,3,C,true,false,false,NA,Low-Difficulty
j2d_arrays1494,1,PC,false,true,false,false,Low-Difficulty
jvariable1213,1,PC,false,true,false,false,Low-Difficulty
joperator1218,3,PGSA,false,true,true,true,Low-Difficulty
joperator1218,3,PC,false,true,false,false,Low-Difficulty
joperator1218,3,PGA,false,true,false,true,Low-Difficulty
joperator1218,3,B,false,false,false,NA,Low-Difficulty
joperator1218,3,PA,false,true,false,false,Low-Difficulty
j2d_arrays1238,1,PC,false,true,false,false,Low-Difficulty
j2d_arrays1238,1,PA,false,true,false,false,Low-Difficulty
jInheritance4501,2,PGSA,false,true,true,true,High-Difficulty
jInheritance4501,2,PGC,false,true,false,true,High-Difficulty
jInheritance4501,2,PGSC,false,true,true,true,High-Difficulty
jInheritance4501,2,C,true,false,false,NA,High-Difficulty
j2d_arrays1237,1,ST,true,false,true,NA,Low-Difficulty
j2d_arrays1237,1,PC,false,true,false,false,Low-Difficulty
j2d_arrays1237,1,PSC,false,true,true,false,Low-Difficulty
j2d_arrays1237,1,A,true,false,false,NA,Low-Difficulty
j2d_arrays1237,1,PSA,false,true,true,false,Low-Difficulty
j2d_arrays1237,1,SA,true,false,true,NA,Low-Difficulty
j2d_arrays1237,1,PA,false,true,false,false,Low-Difficulty
j2d_arrays1237,1,C,true,false,false,NA,Low-Difficulty
jdouble1208,2,ST,true,false,true,NA,Low-Difficulty
jdouble1208,2,PSA,false,true,true,false,Low-Difficulty
jdouble1208,2,SA,true,false,true,NA,Low-Difficulty
jdouble1208,2,C,true,false,false,NA,Low-Difficulty
jincrement468,1,PC,false,true,false,false,Low-Difficulty
jincrement468,1,PSC,false,true,true,false,Low-Difficulty
jincrement468,1,A,true,false,false,NA,Low-Difficulty
jincrement468,1,PA,false,true,false,false,Low-Difficulty
jincrement469,1,PC,false,true,false,false,Low-Difficulty
jincrement469,1,PA,false,true,false,false,Low-Difficulty
jincrement221,1,ST,true,false,true,NA,Low-Difficulty
jincrement221,1,PSC,false,true,true,false,Low-Difficulty
jincrement221,1,PA,false,true,false,false,Low-Difficulty
j2d_arrays1243,3,ST,true,false,true,NA,Low-Difficulty
j2d_arrays1243,3,PGSA,false,true,true,true,Low-Difficulty
j2d_arrays1243,3,PC,false,true,false,false,Low-Difficulty
j2d_arrays1243,3,PSC,false,true,true,false,Low-Difficulty
j2d_arrays1243,3,PGA,false,true,false,true,Low-Difficulty
j2d_arrays1243,3,A,true,false,false,NA,Low-Difficulty
j2d_arrays1243,3,SC,true,false,true,NA,Low-Difficulty
j2d_arrays1243,3,PSA,false,true,true,false,Low-Difficulty
j2d_arrays1243,3,PGC,false,true,false,true,Low-Difficulty
j2d_arrays1243,3,SA,true,false,true,NA,Low-Difficulty
j2d_arrays1243,3,PA,false,true,false,false,Low-Difficulty
j2d_arrays1243,3,PGSC,false,true,true,true,Low-Difficulty
j2d_arrays1243,3,C,true,false,false,NA,Low-Difficulty
jarray2237,2,ST,true,false,true,NA,High-Difficulty
jarray2237,2,PGSA,false,true,true,true,High-Difficulty
jarray2237,2,PC,false,true,false,false,High-Difficulty
jarray2237,2,PSC,false,true,true,false,High-Difficulty
jarray2237,2,PGA,false,true,false,true,High-Difficulty
jarray2237,2,B,false,false,false,NA,High-Difficulty
jarray2237,2,PSA,false,true,true,false,High-Difficulty
jarray2237,2,SA,true,false,true,NA,High-Difficulty
jarray2237,2,PA,false,true,false,false,High-Difficulty
j2d_arrays1244,3,ST,true,false,true,NA,Low-Difficulty
j2d_arrays1244,3,PGSA,false,true,true,true,Low-Difficulty
j2d_arrays1244,3,PC,false,true,false,false,Low-Difficulty
j2d_arrays1244,3,PSC,false,true,true,false,Low-Difficulty
j2d_arrays1244,3,PGA,false,true,false,true,Low-Difficulty
j2d_arrays1244,3,A,true,false,false,NA,Low-Difficulty
j2d_arrays1244,3,SC,true,false,true,NA,Low-Difficulty
j2d_arrays1244,3,PSA,false,true,true,false,Low-Difficulty
j2d_arrays1244,3,PGC,false,true,false,true,Low-Difficulty
j2d_arrays1244,3,PA,false,true,false,false,Low-Difficulty
j2d_arrays1244,3,PGSC,false,true,true,true,Low-Difficulty
j2d_arrays1244,3,C,true,false,false,NA,Low-Difficulty
jInheritance2210,2,PSC,false,true,true,false,High-Difficulty
jInheritance2210,2,PSA,false,true,true,false,High-Difficulty
jInheritance2210,2,SA,true,false,true,NA,High-Difficulty
jarray2238,2,ST,true,false,true,NA,High-Difficulty
jarray2238,2,PGSA,false,true,true,true,High-Difficulty
jarray2238,2,PC,false,true,false,false,High-Difficulty
jarray2238,2,PSC,false,true,true,false,High-Difficulty
jarray2238,2,A,true,false,false,NA,High-Difficulty
jarray2238,2,PSA,false,true,true,false,High-Difficulty
jarray2238,2,SA,true,false,true,NA,High-Difficulty
jarray2238,2,PA,false,true,false,false,High-Difficulty
jarray2238,2,C,true,false,false,NA,High-Difficulty
