method,"concat(question_name,eid)",isstatic,isPersonalized,isStructural,newdiff
RANDOM::BASELINE,jarray2237,false,false,false," High-Difficulty "
RANDOM::BASELINE,jboolean_operators1230,false,false,false," Low-Difficulty "
RANDOM::BASELINE,joperator1218,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jif_else1469,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jif_else5226,false,false,false," High-Difficulty "
RANDOM::BASELINE,jboolean_var469,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jvariable1469,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jarray2239,false,false,false," High-Difficulty "
RANDOM::BASELINE,jfor2484,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jfor1487,false,false,false," Low-Difficulty "
RANDOM::BASELINE,jwhile4232,false,false,false," Low-Difficulty "
NAIVE::LOCAL,joperator1225,true,false,true," Low-Difficulty "
NAIVE::LOCAL,joperator1221,true,false,true," Low-Difficulty "
NAIVE::LOCAL,joperator1226,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jbankaccount215,true,false,true," High-Difficulty "
NAIVE::LOCAL,jbankaccount489,true,false,true," High-Difficulty "
NAIVE::LOCAL,jbankaccount220,true,false,true," High-Difficulty "
NAIVE::LOCAL,jInheritance4248,true,false,true," High-Difficulty "
NAIVE::LOCAL,jdouble1215,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jdouble1208,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jdouble1489,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jInheritance1248,true,false,true," High-Difficulty "
NAIVE::LOCAL,jclass1211,true,false,true," High-Difficulty "
NAIVE::LOCAL,jInheritance3248,true,false,true," High-Difficulty "
NAIVE::LOCAL,jincrement219,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jincrement221,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jif_else1225,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jif_else1221,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jif_else1469,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jif_else5226,true,false,true," High-Difficulty "
NAIVE::LOCAL,jboolean_var231,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jboolean_var229,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jarray4243,true,false,true," High-Difficulty "
NAIVE::LOCAL,jarray4239,true,false,true," High-Difficulty "
NAIVE::LOCAL,jarray4238,true,false,true," High-Difficulty "
NAIVE::LOCAL,jarray1237,true,false,true," High-Difficulty "
NAIVE::LOCAL,jvariable1487,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jvariable1484,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jarray2238,true,false,true," High-Difficulty "
NAIVE::LOCAL,jarray2237,true,false,true," High-Difficulty "
NAIVE::LOCAL,jarray2469,true,false,true," High-Difficulty "
NAIVE::LOCAL,jfor2485,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jfor1485,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jfor1484,true,false,true," Low-Difficulty "
NAIVE::LOCAL,j2d_arrays1243,true,false,true," Low-Difficulty "
NAIVE::LOCAL,j2d_arrays1237,true,false,true," Low-Difficulty "
NAIVE::LOCAL,j2d_arrays1244,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jboolean_operators1473,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jboolean_operators1469,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile3232,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile3480,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile4225,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile4232,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile4469,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jba_ques211,true,false,true," High-Difficulty "
NAIVE::LOCAL,jboolean_var469,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jvariable1490,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jfor2238,true,false,true," Low-Difficulty "
NAIVE::LOCAL,jwhile3479,true,false,true," Low-Difficulty "
GLOBAL::AS,joperator1221,true,false,false," Low-Difficulty "
GLOBAL::AS,joperator1468,true,false,false," Low-Difficulty "
GLOBAL::AS,jbankaccount211,true,false,false," High-Difficulty "
GLOBAL::AS,jbankaccount212,true,false,false," High-Difficulty "
GLOBAL::AS,jbankaccount210,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance4211,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance4498,true,false,false," High-Difficulty "
GLOBAL::AS,jdouble1215,true,false,false," Low-Difficulty "
GLOBAL::AS,jdouble1468,true,false,false," Low-Difficulty "
GLOBAL::AS,jInheritance1498,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance2497,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance2498,true,false,false," High-Difficulty "
GLOBAL::AS,jclass1211,true,false,false," High-Difficulty "
GLOBAL::AS,jclass1212,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance3497,true,false,false," High-Difficulty "
GLOBAL::AS,jInheritance3498,true,false,false," High-Difficulty "
GLOBAL::AS,jincrement219,true,false,false," Low-Difficulty "
GLOBAL::AS,jincrement468,true,false,false," Low-Difficulty "
GLOBAL::AS,jif_else1225,true,false,false," Low-Difficulty "
GLOBAL::AS,jif_else1221,true,false,false," Low-Difficulty "
GLOBAL::AS,jif_else1469,true,false,false," Low-Difficulty "
GLOBAL::AS,jif_else5221,true,false,false," High-Difficulty "
GLOBAL::AS,jif_else5469,true,false,false," High-Difficulty "
GLOBAL::AS,jboolean_var230,true,false,false," Low-Difficulty "
GLOBAL::AS,jboolean_var231,true,false,false," Low-Difficulty "
GLOBAL::AS,jboolean_var229,true,false,false," Low-Difficulty "
GLOBAL::AS,jarray4243,true,false,false," High-Difficulty "
GLOBAL::AS,jarray4238,true,false,false," High-Difficulty "
GLOBAL::AS,jarray4239,true,false,false," High-Difficulty "
GLOBAL::AS,jarray1238,true,false,false," High-Difficulty "
GLOBAL::AS,jarray1237,true,false,false," High-Difficulty "
GLOBAL::AS,jvariable1221,true,false,false," Low-Difficulty "
GLOBAL::AS,jvariable1468,true,false,false," Low-Difficulty "
GLOBAL::AS,jarray2238,true,false,false," High-Difficulty "
GLOBAL::AS,jarray2239,true,false,false," High-Difficulty "
GLOBAL::AS,jarray2469,true,false,false," High-Difficulty "
GLOBAL::AS,jclasses_constructor211,true,false,false," High-Difficulty "
GLOBAL::AS,jclasses_constructor212,true,false,false," High-Difficulty "
GLOBAL::AS,jclasses_constructor210,true,false,false," High-Difficulty "
GLOBAL::AS,jfor2485,true,false,false," Low-Difficulty "
GLOBAL::AS,jfor1487,true,false,false," Low-Difficulty "
GLOBAL::AS,jfor1238,true,false,false," Low-Difficulty "
GLOBAL::AS,jfor1484,true,false,false," Low-Difficulty "
GLOBAL::AS,j2d_arrays1243,true,false,false," Low-Difficulty "
GLOBAL::AS,j2d_arrays1237,true,false,false," Low-Difficulty "
GLOBAL::AS,j2d_arrays1244,true,false,false," Low-Difficulty "
GLOBAL::AS,jboolean_operators1230,true,false,false," Low-Difficulty "
GLOBAL::AS,jboolean_operators1469,true,false,false," Low-Difficulty "
GLOBAL::AS,jwhile3487,true,false,false," Low-Difficulty "
GLOBAL::AS,jwhile3469,true,false,false," Low-Difficulty "
GLOBAL::AS,jwhile4225,true,false,false," Low-Difficulty "
GLOBAL::AS,jwhile4469,true,false,false," Low-Difficulty "
GLOBAL::AS,jba_ques211,true,false,false," High-Difficulty "
GLOBAL::AS,jba_ques212,true,false,false," High-Difficulty "
GLOBAL::AS,jba_ques210,true,false,false," High-Difficulty "
GLOBAL::AS,jarray1239,true,false,false," High-Difficulty "
GLOBAL::AS,jvariable1467,true,false,false," Low-Difficulty "
GLOBAL::AS,jfor2238,true,false,false," Low-Difficulty "
GLOBAL::COS,joperator1225,true,false,false," Low-Difficulty "
GLOBAL::COS,joperator1221,true,false,false," Low-Difficulty "
GLOBAL::COS,joperator1226,true,false,false," Low-Difficulty "
GLOBAL::COS,jbankaccount211,true,false,false," High-Difficulty "
GLOBAL::COS,jbankaccount480,true,false,false," High-Difficulty "
GLOBAL::COS,jbankaccount213,true,false,false," High-Difficulty "
GLOBAL::COS,jInheritance4248,true,false,false," High-Difficulty "
GLOBAL::COS,jInheritance4211,true,false,false," High-Difficulty "
