title,sline,eline,"group_concat(distinct concept separator ';')"
arithmetic_v2,0,0,ClassDefinition
arithmetic_v2,1,1,PublicMethodSpecifier;FormalMethodParameter;MethodDefinition;StaticMethodSpecifier;VoidDataType
arithmetic_v2,3,3,AddExpression;SimpleAssignmentExpression;IntDataType
arithmetic_v2,4,4,ActualMethodParameter;java.lang.System.out.println
arithmetic_v2,6,6,SubtractExpression;SimpleAssignmentExpression
arithmetic_v2,7,7,ActualMethodParameter;java.lang.System.out.println
arithmetic_v2,9,9,MultiplyExpression;SimpleAssignmentExpression
arithmetic_v2,10,10,ActualMethodParameter;java.lang.System.out.println
arithmetic_v2,12,12,DivideExpression;SimpleAssignmentExpression
arithmetic_v2,13,13,ActualMethodParameter;java.lang.System.out.println
arithmetic_v2,15,15,AddExpression;SimpleAssignmentExpression
arithmetic_v2,16,16,ModulusExpression;SimpleAssignmentExpression
arithmetic_v2,17,17,ActualMethodParameter;java.lang.System.out.println
arraylist1_v2,0,0,ClassDefinition;PublicClassSpecifier
arraylist1_v2,2,2,StaticMethodSpecifier;FormalMethodParameter;MethodDefinition;PublicMethodSpecifier;VoidDataType
arraylist1_v2,4,4,SimpleAssignmentExpression;GenericObjectCreationStatement;java.util.ArrayList
arraylist1_v2,6,6,java.util.ArrayList;GenericObjectCreationStatement;SimpleAssignmentExpression
arraylist1_v2,7,7,SimpleAssignmentExpression;java.util.ArrayList;ConstructorCall;ObjectCreationStatement
arraylist2_v2,0,0,java.util.ArrayList;ImportStatement
arraylist2_v2,1,1,ClassDefinition
arraylist2_v2,2,2,PublicMethodSpecifier;MethodDefinition;FormalMethodParameter;VoidDataType;StaticMethodSpecifier
arraylist2_v2,4,4,ObjectCreationStatement;java.util.ArrayList;SimpleAssignmentExpression;ConstructorCall
arraylist2_v2,6,6,StringLiteral;java.util.ArrayList.add;ActualMethodParameter;StringDataType
arraylist2_v2,7,7,ActualMethodParameter;StringLiteral;StringDataType;java.util.ArrayList.add
arraylist2_v2,8,8,java.util.ArrayList.add;StringDataType;StringLiteral;ActualMethodParameter
arraylist2_v2,9,9,StringDataType;StringLiteral;ActualMethodParameter;java.util.ArrayList.add
arraylist2_v2,10,10,ActualMethodParameter;java.util.ArrayList.add;StringLiteral;StringDataType
arraylist2_v2,11,11,ActualMethodParameter;StringDataType;StringLiteral;java.util.ArrayList.add
arraylist2_v2,12,12,ActualMethodParameter;java.util.ArrayList.add;StringLiteral;StringDataType
arraylist2_v2,13,13,StringAddition;StringDataType;StringLiteral;ActualMethodParameter;java.lang.System.out.println;java.util.ArrayList.size
