user_id,group_id,datentime,question_name,example_name,fb_response_value
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jDouble1,TypeCasting_v2,3
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jDouble1,variables2_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jDouble1,JavaTutorial_4_1_5,1
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jVariable1,JavaTutorial_4_6_9,2
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jVariable1,JavaTutorial_4_6_6,2
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jVariable1,JavaTutorial_4_1_5,1
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jVariable1,variables1_v2,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jIncrement,increment_v2,3
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jIncrement,JavaTutorial_4_2_8,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jIncrement,JavaTutorial_4_2_9,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jIncrement,JavaTutorial_4_1_5,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jIncrement,variables1_v2,1
us13A01,STUDY2013_A,"2014-01-13 10:57:36",jOperator1,OperatorExample_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",jOperator1,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",jOperator1,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",jOperator1,JavaTutorial_4_1_5,0
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jBoolean_Var,boolean_declaration_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jBoolean_Var,boolean_operators_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jBoolean_Var,increment_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jBoolean_Operators,JavaTutorial_4_2_2,3
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jBoolean_Operators,conditional_operators_v2,3
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jBoolean_Operators,JavaTutorial_4_2_8,2
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jBoolean_Operators,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jIfelse1,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jIfelse1,OperatorExample_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jIfelse1,JavaTutorial_4_2_2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jIfelse1,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:21:34",jIfelse5,nested_loops_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:34",jIfelse5,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:35",jIfelse5,JavaTutorial_4_2_2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:35",jIfelse5,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,JavaTutorial_4_6_9,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,JavaTutorial_4_6_6,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,JavaTutorial_4_6_7,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,JavaTutorial_4_2_2,0
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,nested_loops2_v2,3
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jFor1,nested_loops2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jFor2,relational_operators_v2,1
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jFor2,for1_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jFor2,JavaTutorial_4_6_7,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jFor2,boolean_expression_v2,1
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jFor2,nested_loops2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jWhile3,JavaTutorial_4_2_2,1
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jWhile3,JavaTutorial_4_6_6,1
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jWhile3,while_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jWhile3,JavaTutorial_4_6_9,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jWhile3,JavaTutorial_4_4_3,1
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jWhile4,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jWhile4,while_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jWhile4,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jWhile4,JavaTutorial_4_2_2,1
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jWhile4,JavaTutorial_4_4_3,1
us13A02,STUDY2013_A,"2014-01-13 14:13:43",jBoolean_Var,boolean_declaration_v2,1
us13A02,STUDY2013_A,"2014-01-13 14:13:43",jBoolean_Var,boolean_operators_v2,2
