user_id,group_id,datentime,question_name,example_name,fb_response_value
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jdouble1,TypeCasting_v2,3
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jdouble1,variables2_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:33:12",jdouble1,JavaTutorial_4_1_5,1
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jvariable1,JavaTutorial_4_6_9,2
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jvariable1,JavaTutorial_4_6_6,2
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jvariable1,JavaTutorial_4_1_5,1
us13A01,STUDY2013_A,"2014-01-13 10:42:02",jvariable1,variables1_v2,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jincrement,increment_v2,3
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jincrement,JavaTutorial_4_2_8,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jincrement,JavaTutorial_4_2_9,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jincrement,JavaTutorial_4_1_5,0
us13A01,STUDY2013_A,"2014-01-13 10:48:35",jincrement,variables1_v2,1
us13A01,STUDY2013_A,"2014-01-13 10:57:36",joperator1,OperatorExample_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",joperator1,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",joperator1,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 10:57:36",joperator1,JavaTutorial_4_1_5,0
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jboolean_var,boolean_declaration_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jboolean_var,boolean_operators_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:08:47",jboolean_var,increment_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jboolean_operators1,JavaTutorial_4_2_2,3
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jboolean_operators1,conditional_operators_v2,3
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jboolean_operators1,JavaTutorial_4_2_8,2
us13A01,STUDY2013_A,"2014-01-13 11:12:53",jboolean_operators1,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jif_else1,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jif_else1,OperatorExample_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jif_else1,JavaTutorial_4_2_2,2
us13A01,STUDY2013_A,"2014-01-13 11:17:41",jif_else1,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:21:34",jif_else5,nested_loops_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:34",jif_else5,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:35",jif_else5,JavaTutorial_4_2_2,2
us13A01,STUDY2013_A,"2014-01-13 11:21:35",jif_else5,boolean_expression_v2,0
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,JavaTutorial_4_6_9,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,JavaTutorial_4_6_6,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,JavaTutorial_4_6_7,1
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,JavaTutorial_4_2_2,0
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,nested_loops2_v2,3
us13A01,STUDY2013_A,"2014-01-13 11:25:58",jfor1,nested_loops2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jfor2,relational_operators_v2,1
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jfor2,for1_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jfor2,JavaTutorial_4_6_7,2
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jfor2,boolean_expression_v2,1
us13A01,STUDY2013_A,"2014-01-13 11:29:52",jfor2,nested_loops2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jwhile3,JavaTutorial_4_2_2,1
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jwhile3,JavaTutorial_4_6_6,1
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jwhile3,while_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jwhile3,JavaTutorial_4_6_9,2
us13A01,STUDY2013_A,"2014-01-13 11:34:35",jwhile3,JavaTutorial_4_4_3,1
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jwhile4,Decision_If_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jwhile4,while_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jwhile4,ifelse2_v2,2
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jwhile4,JavaTutorial_4_2_2,1
us13A01,STUDY2013_A,"2014-01-13 11:39:48",jwhile4,JavaTutorial_4_4_3,1
us13A02,STUDY2013_A,"2014-01-13 14:13:43",jboolean_var,boolean_declaration_v2,1
us13A02,STUDY2013_A,"2014-01-13 14:13:43",jboolean_var,boolean_operators_v2,2
us13A02,STUDY2013_A,"2014-01-13 14:13:43",jboolean_var,boolean_expression_v2,2
