user,group,session,FailuedQuestion,sequenceExamples,result,retry,datentime
knw21,IS17Spring2015,3ADFB,jWhile1,,1,3,2015-02-03 10:26:49.593
knw21,IS17Spring2015,3ADFB,jWhile1,,0,1,2015-02-03 10:27:41.406
knw21,IS17Spring2015,3ADFB,jWhile3,,0,2,2015-02-03 10:28:41.859
knw21,IS17Spring2015,3ADFB,jWhile3,JavaTutorial_4_6_9:1.0:12.44;,0,1,2015-02-03 10:29:04.499
knw21,IS17Spring2015,3ADFB,jWhile3,JavaTutorial_4_6_9:1.0:11.58;while_v2:0.5:10.34;,0,0,2015-02-03 10:29:52.921
knw21,IS17Spring2015,3ADFB,jBoolean_Method,,0,1,2015-02-03 10:32:27.171
knw21,IS17Spring2015,3ADFB,jBoolean_Method,CreateString_v2:0.6666666666666666:3.19;,1,1,2015-02-03 10:32:27.171
knw21,IS17Spring2015,3ADFB,jBoolean_Operators3,,0,1,2015-02-03 10:33:08.593
knw21,IS17Spring2015,3ADFB,jbooleanOperationsOR,,0,4,2015-02-03 10:33:25.406
knw21,IS17Spring2015,3ADFB,jCompareString,,0,1,2015-02-03 10:34:49.015
knw21,IS17Spring2015,3ADFB,jIfelse1,,0,1,2015-02-03 10:35:14.515
knw21,IS17Spring2015,3ADFB,jIfelse1,OperatorExample_v2:0.3333333333333333:3.78;,1,2,2015-02-03 10:35:14.515
knw21,IS17Spring2015,3ADFB,jbooleanOperationsOR,,0,1,2015-02-03 10:35:59.406
knw21,IS17Spring2015,43461,jObjects1,,1,2,2015-03-10 12:57:28.325
knw21,IS17Spring2015,43461,jObjects2,,1,2,2015-03-10 12:58:24.356
knw21,IS17Spring2015,43461,jObjects3,,1,2,2015-03-10 12:58:49.387
knw21,IS17Spring2015,43461,jprintlnTest,,0,3,2015-03-10 13:02:11.512
knw21,IS17Spring2015,43461,jNested2,,1,3,2015-03-10 13:03:10.637
knw21,IS17Spring2015,43461,jDowhile3,,1,3,2015-03-10 13:04:55.637
knw21,IS17Spring2015,43461,jDowhile2,,1,2,2015-03-10 13:05:42.075
knw21,IS17Spring2015,43461,jDowhile6,,1,4,2015-03-10 13:06:07.778
knw21,IS17Spring2015,43461,jFor2,,1,3,2015-03-10 13:07:03.121
knw21,IS17Spring2015,43461,jFor3,,1,2,2015-03-10 13:07:24.606
knw21,IS17Spring2015,43461,jSwitch1,,1,2,2015-03-10 13:09:56.887
knw21,IS17Spring2015,43461,jWhile3,,1,5,2015-03-10 13:17:51.543
dwr12,IS17Spring2015,88199,jString1,,1,5,2015-01-21 14:35:36.796
dwr12,IS17Spring2015,88199,jString4,,1,2,2015-01-21 21:43:33.515
dwr12,IS17Spring2015,95E74,jBoolean_Operators3,,1,2,2015-01-31 14:34:17.078
dwr12,IS17Spring2015,95E74,jbooleanOperationsOR,,0,2,2015-01-31 14:40:39.765
dwr12,IS17Spring2015,95E74,jbooleanOperationsOR,boolean_expression_v2:1.0:3.97;comparison_operators_v2:0.3333333333333333:17.22;conditional_operators_v2:1.0:16.66;ObjectEquality:1.0:15.91;testNull:0.6666666666666666:22.52;JavaTutorial_4_2_5:1.0:20.24;stringEquals:1.0:2.64;,0,1,2015-01-31 14:41:16.499
dwr12,IS17Spring2015,95E74,jtestNull,,0,2,2015-01-31 14:49:47.234
dwr12,IS17Spring2015,54B00,jBoolean_Operators3,,1,2,2015-02-04 00:24:10.640
dwr12,IS17Spring2015,54B00,jbooleanOperationsOR,,1,2,2015-02-04 00:26:45.984
dwr12,IS17Spring2015,8E26B,jDowhile6,,1,2,2015-02-08 20:39:24.350
dwr12,IS17Spring2015,8E26B,jDowhile8,,1,4,2015-02-08 21:02:01.490
dwr12,IS17Spring2015,8E26B,jDowhile8,,1,4,2015-02-08 21:48:49.756
dwr12,IS17Spring2015,8E26B,jFor3,,1,2,2015-02-08 23:28:36.959
dwr12,IS17Spring2015,AE10D,jBankAccount,,1,2,2015-02-20 10:12:00.600
dwr12,IS17Spring2015,886D6,jObjects1,,1,2,2015-02-23 21:34:56.428
dwr12,IS17Spring2015,65DB9,jObjects3,,1,2,2015-02-27 16:28:40.381
dwr12,IS17Spring2015,CE20F,jArray3,,1,2,2015-03-24 22:40:15.296
dwr12,IS17Spring2015,CE20F,jEnhancedForLoop,,1,3,2015-03-24 22:52:19.515
dwr12,IS17Spring2015,46163,jArrayList1,,1,3,2015-04-13 16:29:47.060
dwr12,IS17Spring2015,46163,jArrayList2,,1,3,2015-04-13 16:32:51.998
dwr12,IS17Spring2015,46163,jArrayList3,,0,3,2015-04-13 16:36:20.404
dwr12,IS17Spring2015,46163,jArrayList5,,1,4,2015-04-13 21:01:48.342
ggs6,IS17Spring2015,71536,j2D_Arrays1,,1,6,2015-03-24 03:24:27.203
ggs6,IS17Spring2015,71536,jEnhancedForLoop,,0,2,2015-03-24 03:34:45.906
ggs6,IS17Spring2015,71536,j2D_arrays4,,1,9,2015-03-24 03:58:05.406
ggs6,IS17Spring2015,71536,jArrayList1,,0,1,2015-03-24 05:17:20.218
ggs6,IS17Spring2015,71536,jArrayList3,,0,2,2015-03-24 05:33:21.140
ggs6,IS17Spring2015,71536,jArrayList2,,1,2,2015-03-24 06:07:03.671
ggs6,IS17Spring2015,A080D,jArrayList1,,1,2,2015-03-25 22:45:14.171
ggs6,IS17Spring2015,A080D,jArrayList3,,1,3,2015-03-25 22:46:18.234
ggs6,IS17Spring2015,0A992,jInheritance1,,0,1,2015-03-31 03:18:25.578
ggs6,IS17Spring2015,0A992,jInheritance1,inheritance_constructors_1:0.0:0.86;OverridingObjectMethods:0.0:3.98;,0,0,2015-03-31 03:18:25.578
jjs175,IS17Spring2015,128C3,jprintlnTest,,1,3,2015-03-19 11:31:56.890
jjs175,IS17Spring2015,128C3,jUsingDouble,,1,2,2015-03-19 11:37:13.734
sia28,IS17Spring2015,EDADB,jVariable4_rev,,0,1,2015-02-15 09:17:28.178
sia28,IS17Spring2015,EDADB,jUsingDouble,,0,1,2015-02-15 09:19:35.037
sia28,IS17Spring2015,EDADB,jusingFloat,,0,1,2015-02-15 09:20:19.475
