rdfids,topic_name,,,,,,
jvariables2,Variables,,,,,,
jprint_var,Variables,,,,,,
jprint_var_express2,Variables,,,,,,
jVariable1_rev,Variables,,,,,,
jVariable4_rev,Variables,,,,,,
jprintlnTest,Variables,,,,,,
jSimpleVariableTest,Variables,,,,,,
jclass1,Classes,,,,,,
jbankaccount,Classes,,,,,,
jba_ques,Classes,,,,,,
jobject_rec1,Objects,,,,,,
jobject_rec2,Objects,,,,,,
jobject_translate,Objects,,,,,,
jclasses_constructor,Classes,,,,,,
jclasses_getter,Classes,,,,,,
jClassBankAccountThis,Classes,,,,,,
jClassCashRegister,Classes,,,,,,
jUsingDouble,Primitive_Data_Types,,,,,,
jusingFloat,Primitive_Data_Types,,,,,,
jdouble1,Arithmetic_Operations,,,,,,
jvariable1,Arithmetic_Operations,,,,,,
jmath1,Arithmetic_Operations,,,,,,  
jmath2,Arithmetic_Operations,,,,,,
joperator1,Arithmetic_Operations,,,,,,
jincrement,Arithmetic_Operations,,,,,,
jint_long,Arithmetic_Operations,,,,,,
jConstants2,Constants,,,,,,
jConstants3,Arithmetic_Operations,,,,,,
jCompoundAssignment_mult,Arithmetic_Operations,,,,,,
jPostIncrement,Arithmetic_Operations,,,,,,
jPostDecrement,Arithmetic_Operations,,,,,,
jPreDecrement,Arithmetic_Operations,,,,,,
jMathAbs,Arithmetic_Operations,,,,,,
jMathCeil,Arithmetic_Operations,,,,,,
jDivision,Arithmetic_Operations,,,,,,
jstring1,Strings,,,,,,
jstring2,Strings,,,,,,
jstring3,Strings,,,,,,
jstring4,Strings,,,,,,
jstring5,Strings,,,,,,
jstring_int,Strings,,,,,,
jstring_double,Strings,,,,,,
jstring6,Strings,,,,,,
jStringEqual,Strings,,,,,,
jStringReplace,Strings,,,,,,
jif_else5,Decisions,,,,,,
jEarthquake,Decisions,,,,,,
jif_else1,Boolean_Expressions,,,,,,
jboolean_var,Boolean_Expressions,,,,,,
jboolean_method,Boolean_Expressions,,,,,,
jboolean_operators1,Boolean_Expressions,,,,,,
jboolean_operator3,Boolean_Expressions,,,,,,
jbooleanOperationsOR,Boolean_Expressions,,,,,,
jbooleanOperationsNot,Boolean_Expressions,,,,,,
jbooleanOperationsNotEqual,Boolean_Expressions,,,,,,
jbooleanOperationsLessEqual,Boolean_Expressions,,,,,,
jbooleanOperationsGreaterEqual,Boolean_Expressions,,,,,,
jtestNull,Boolean_Expressions,,,,,,
jCompareString,Boolean_Expressions,,,,,,
jwhile1,Loops_while,,,,,,
jwhile2,Loops_while,,,,,,
jwhile3,Loops_while,,,,,,
jwhile4,Loops_while,,,,,,
jswitch1,Switch,,,,,,
jswitch2,Switch,,,,,,
jswitch3,Switch,,,,,,
jdowhile1,Loops_do_while,,,,,,
jdowhile2,Loops_do_while,,,,,,
jdowhile3,Loops_do_while,,,,,,
jdowhile6,Loops_do_while,,,,,,
jdowhile8,Loops_do_while,,,,,,
jfor1,Loops_for,,,,,,
jfor2,Loops_for,,,,,,
jfor3,Loops_for,,,,,,
jnested_loops1,Nested_Loops,,,,,,
jnested2,Nested_Loops,,,,,,
jarray1,Arrays,,,,,,
jarray2,Arrays,,,,,,
jarray3,Arrays,,,,,,
jarray4,Arrays,,,,,,
jarray5,Arrays,,,,,,
jEnhancedForLoop,Arrays,,,,,,
jarraylist1,ArrayList,,,,,,
jarraylist2,ArrayList,,,,,,
jarraylist3,ArrayList,,,,,,
jarraylist4,ArrayList,,,,,,
jarraylist5,ArrayList,,,,,,
jwrapper_class1,Wrapper_Classes,,,,,,
j2d_arrays1,Two-dimensional_Arrays,,,,,,
j2d_arrays2,Two-dimensional_Arrays,,,,,,
j2d_arrays3,Two-dimensional_Arrays,,,,,,
j2d_arrays4,Two-dimensional_Arrays,,,,,,
jwrapper_class2,Wrapper_Classes,,,,,,
jwrapper_class3,Wrapper_Classes,,,,,,
jwrapper_class4,Wrapper_Classes,,,,,,
jInheritance1,Inheritance,,,,,,
jInheritance2,Inheritance,,,,,,
jInheritance3,Inheritance,,,,,,
jInheritance4,Inheritance,,,,,,
jInheritance5,Inheritance,,,,,,
jInheritance6,Inheritance,,,,,,
jInterfaces1,Interfaces,,,,,,
jInterfaces2,Interfaces,,,,,,
jInterfaces3,Interfaces,,,,,,
jInterfaces4,Interfaces,,,,,,
jInterfaces5,Interfaces,,,,,,
jExceptions1,Exceptions,,,,,,
jExceptions2,Exceptions,,,,,,
jExceptions3,Exceptions,,,,,,
jExceptions4,Exceptions,,,,,,
jExceptions5,Exceptions,,,,,,
jvariables1,Variables,,,,,,
jprint_var_express,Variables,,,,,,
jobject_string1,Objects,,,,,,
jobject_string2,Objects,,,,,,
jinteger1,Primitive_Data_Types,,,,,,
jpri_float,Primitive_Data_Types,,,,,,
jConstants1,Constants,,,,,,
jConstants4,Constants,,,,,,
jConstants5,Constants,,,,,,
jif_else2,Decisions,,,,,,
jif_else3,Decisions,,,,,,
jif_else4,Decisions,,,,,,
jboolean_operators2,Boolean_Expressions,,,,,,
jdowhile4,Loops_do_while,,,,,,
jfor4,Loops_for,,,,,,
jfor5,Loops_for,,,,,,
jwhile5,Loops_while,,,,,,
jnested3,Nested_Loops,,,,,,
