user,method,d1,,d2,,d3,,e1,e2,e3
High,RANDOM::BASELINE,1.133893419,RANDOM::BASELINE,0.755928946,RANDOM::BASELINE,0.534522484,,dmb72,peterb,rafael.araujo
High,P::LOCAL::AS::GOAL,0.83526907,P::LOCAL::AS::GOAL,0.549841415,P::LOCAL::AS::GOAL,0.762492852,,dmb72,peterb,rafael.araujo
High,P::GLOBAL::COS,0.991631652,P::GLOBAL::COS,0.619139187,P::GLOBAL::COS,0.785281266,,dmb72,peterb,rafael.araujo
High,P::GLOBAL::AS,1.008438968,P::GLOBAL::AS,0.596600539,P::GLOBAL::AS,0.79190823,,dmb72,peterb,rafael.araujo
High,GLOBAL::AS,0.88640526,GLOBAL::AS,0.6172134,GLOBAL::AS,0.801783726,,dmb72,peterb,rafael.araujo
High,P::GLOBAL::AS::GOAL,0.947607083,P::GLOBAL::AS::GOAL,0.606091527,P::GLOBAL::AS::GOAL,0.832993128,,dmb72,peterb,rafael.araujo
High,P::GLOBAL::COS::GOAL,0.788429846,P::GLOBAL::COS::GOAL,0.592748978,P::GLOBAL::COS::GOAL,0.869917672,,dmb72,peterb,rafael.araujo
High,P::LOCAL::AS,0.832050294,P::LOCAL::AS,0.620173673,P::LOCAL::AS,0.877058019,,dmb72,peterb,rafael.araujo
High,NAIVE::LOCAL,0.887625365,NAIVE::LOCAL,0.577350269,NAIVE::LOCAL,0.904534034,,dmb72,peterb,rafael.araujo
High,LOCAL::COS,1.118033989,LOCAL::COS,0.684653197,LOCAL::COS,0.935414347,,dmb72,peterb,rafael.araujo
High,P::LOCAL::COS,1.009950494,P::LOCAL::COS,0.64807407,P::LOCAL::COS,0.948683298,,dmb72,peterb,rafael.araujo
High,GLOBAL::COS,0.955533086,GLOBAL::COS,0.571040241,GLOBAL::COS,0.955533086,,dmb72,peterb,rafael.araujo
High,P::LOCAL::COS::GOAL,0.903210647,P::LOCAL::COS::GOAL,0.486664263,P::LOCAL::COS::GOAL,0.95971487,,dmb72,peterb,rafael.araujo
Low,RANDOM::BASELINE,0.707106781,RANDOM::BASELINE,1.5,RANDOM::BASELINE,1.58113883,,dmb72,peterb,rafael.araujo
High,LOCAL::AS,0.944911183,LOCAL::AS,0.626783171,LOCAL::AS,1,,dmb72,peterb,rafael.araujo
Low,LOCAL::COS,0.935414347,LOCAL::COS,0.763762616,LOCAL::COS,1.08012345,,dmb72,peterb,rafael.araujo
Low,LOCAL::AS,0.955533086,LOCAL::AS,0.834057656,LOCAL::AS,1.142080481,,dmb72,peterb,rafael.araujo
Low,P::LOCAL::AS::GOAL,1,P::LOCAL::AS::GOAL,0.948683298,P::LOCAL::AS::GOAL,1.083974169,,dmb72,peterb,rafael.araujo
Low,P::LOCAL::AS,1.014599312,P::LOCAL::AS,0.84016805,P::LOCAL::AS,1.05718828,,dmb72,peterb,rafael.araujo
Low,P::GLOBAL::COS::GOAL,1.015504801,P::GLOBAL::COS::GOAL,0.918558654,P::GLOBAL::COS::GOAL,1.198957881,,dmb72,peterb,rafael.araujo
Low,P::LOCAL::COS,1.022474716,P::LOCAL::COS,0.768706115,P::LOCAL::COS,1.066003582,,dmb72,peterb,rafael.araujo
Low,NAIVE::LOCAL,1.047269876,NAIVE::LOCAL,0.933256525,NAIVE::LOCAL,1.135923668,,dmb72,peterb,rafael.araujo
Low,P::LOCAL::COS::GOAL,1.067187373,P::LOCAL::COS::GOAL,0.849836586,P::LOCAL::COS::GOAL,1.190238071,,dmb72,peterb,rafael.araujo
Low,P::GLOBAL::AS,1.08012345,P::GLOBAL::AS,0.971825316,P::GLOBAL::AS,0.986013297,,dmb72,peterb,rafael.araujo
Low,P::GLOBAL::COS,1.08012345,P::GLOBAL::COS,0.971825316,P::GLOBAL::COS,1.067187373,,dmb72,peterb,rafael.araujo
Low,GLOBAL::AS,1.127062674,GLOBAL::AS,1,GLOBAL::AS,1.078036253,,dmb72,peterb,rafael.araujo
Low,P::GLOBAL::AS::GOAL,1.160959124,P::GLOBAL::AS::GOAL,0.944089163,P::GLOBAL::AS::GOAL,1.04257207,,dmb72,peterb,rafael.araujo
Low,GLOBAL::COS,1.166666667,GLOBAL::COS,0.881917104,GLOBAL::COS,1.08012345,,dmb72,peterb,rafael.araujo
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,, ,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,, ,,
