pretest,method,"concat(question_name,eid)",woc
High,GLOBAL::AS,joperator1221,3
High,GLOBAL::AS,joperator1468,1
High,GLOBAL::AS,jbankaccount211,2
High,GLOBAL::AS,jbankaccount212,2
High,GLOBAL::AS,jInheritance4498,2
High,GLOBAL::AS,jdouble1215,2
High,GLOBAL::AS,jdouble1468,2
High,GLOBAL::AS,jInheritance1498,2
High,GLOBAL::AS,jInheritance2497,1
High,GLOBAL::AS,jInheritance2498,2
High,GLOBAL::AS,jclass1211,2
High,GLOBAL::AS,jclass1212,2
High,GLOBAL::AS,jInheritance3497,1
High,GLOBAL::AS,jInheritance3498,1
High,GLOBAL::AS,jincrement219,3
High,GLOBAL::AS,jincrement468,1
High,GLOBAL::AS,jif_else1221,2
High,GLOBAL::AS,jif_else1469,2
High,GLOBAL::AS,jif_else5221,2
High,GLOBAL::AS,jif_else5469,1
High,GLOBAL::AS,jboolean_var230,2
High,GLOBAL::AS,jboolean_var229,2
High,GLOBAL::AS,jarray4238,2
High,GLOBAL::AS,jarray4239,3
High,GLOBAL::AS,jarray1238,1
High,GLOBAL::AS,jarray1237,2
High,GLOBAL::AS,jvariable1468,1
High,GLOBAL::AS,jarray2238,2
High,GLOBAL::AS,jarray2469,1
High,GLOBAL::AS,jclasses_constructor211,2
High,GLOBAL::AS,jclasses_constructor212,2
High,GLOBAL::AS,jfor1487,1
High,GLOBAL::AS,jfor1238,0
High,GLOBAL::AS,j2d_arrays1243,2
High,GLOBAL::AS,j2d_arrays1244,2
High,GLOBAL::AS,jboolean_operators1230,2
High,GLOBAL::AS,jboolean_operators1469,2
High,GLOBAL::AS,jwhile3487,1
High,GLOBAL::AS,jwhile3469,1
High,GLOBAL::AS,jwhile4469,1
High,GLOBAL::AS,jba_ques211,2
High,GLOBAL::AS,jba_ques212,2
High,GLOBAL::COS,joperator1225,2
High,GLOBAL::COS,joperator1221,3
High,GLOBAL::COS,jbankaccount211,2
High,GLOBAL::COS,jbankaccount480,1
High,GLOBAL::COS,jInheritance4248,1
High,GLOBAL::COS,jInheritance4501,2
High,GLOBAL::COS,jdouble1215,2
High,GLOBAL::COS,jdouble1498,0
High,GLOBAL::COS,jInheritance1248,1
High,GLOBAL::COS,jInheritance1501,2
High,GLOBAL::COS,jInheritance2248,2
High,GLOBAL::COS,jInheritance2501,2
High,GLOBAL::COS,jclass1211,2
High,GLOBAL::COS,jInheritance3248,2
High,GLOBAL::COS,jInheritance3501,2
High,GLOBAL::COS,jincrement219,3
High,GLOBAL::COS,jincrement473,2
High,GLOBAL::COS,jif_else1225,2
High,GLOBAL::COS,jif_else1221,2
High,GLOBAL::COS,jif_else5221,2
High,GLOBAL::COS,jif_else5226,2
High,GLOBAL::COS,jboolean_var230,2
High,GLOBAL::COS,jboolean_var229,2
High,GLOBAL::COS,jarray4239,3
High,GLOBAL::COS,jarray4238,2
High,GLOBAL::COS,jarray1237,2
High,GLOBAL::COS,jarray1490,1
High,GLOBAL::COS,jvariable1487,2
High,GLOBAL::COS,jvariable1484,2
High,GLOBAL::COS,jarray2239,2
High,GLOBAL::COS,jarray2244,1
High,GLOBAL::COS,jclasses_constructor212,2
High,GLOBAL::COS,jclasses_constructor480,2
High,GLOBAL::COS,jfor2234,2
High,GLOBAL::COS,jfor2485,1
High,GLOBAL::COS,jfor1487,1
High,GLOBAL::COS,jfor1485,1
High,GLOBAL::COS,j2d_arrays1243,2
High,GLOBAL::COS,j2d_arrays1244,2
High,GLOBAL::COS,jboolean_operators1469,2
High,GLOBAL::COS,jwhile3232,3
High,GLOBAL::COS,jwhile3480,1
High,GLOBAL::COS,jwhile4225,2
High,GLOBAL::COS,jwhile4232,2
High,GLOBAL::COS,jba_ques211,2
High,GLOBAL::COS,jba_ques480,1
High,LOCAL::AS,joperator1221,3
High,LOCAL::AS,jbankaccount215,2
High,LOCAL::AS,jbankaccount220,1
High,LOCAL::AS,jInheritance4248,1
High,LOCAL::AS,jdouble1215,2
High,LOCAL::AS,jInheritance1248,1
High,LOCAL::AS,jInheritance2248,2
High,LOCAL::AS,jInheritance2210,1
High,LOCAL::AS,jInheritance3248,2
High,LOCAL::AS,jincrement208,1
High,LOCAL::AS,jif_else1225,2
High,LOCAL::AS,jif_else5221,2
High,LOCAL::AS,jif_else5469,1
High,LOCAL::AS,jboolean_var229,2
High,LOCAL::AS,jarray4243,1
High,LOCAL::AS,jarray4238,2
High,LOCAL::AS,jarray1243,1
High,LOCAL::AS,jarray1469,1
High,LOCAL::AS,jarray2243,1
High,LOCAL::AS,jarray2237,2
High,LOCAL::AS,jfor1485,1
High,LOCAL::AS,j2d_arrays1243,2
High,LOCAL::AS,j2d_arrays1208,2
High,LOCAL::AS,jboolean_operators1469,2
High,LOCAL::AS,jwhile3232,3
High,LOCAL::AS,jwhile3469,1
